,Name,Title,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Image,Real Time Net Worth,2022 Billionaires Net Worth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Quote,Source Page
2467,Antonio Gallardo Ballart,,86,pharmaceuticals,,,"Barcelona, Spain",Spain,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5c72171031358e35dd26fe39/0x0.jpg?format=jpg&crop=292,292,x3,y67,safe&height=416&width=416&fit=bounds",$997.9M,$1.1B,,,,,,,,,,,,,,,,,,,,,$1.2B,,$1.1B,$1.1B,,https://www.forbes.com/profile/antonio-gallardo-ballart/?list=billionaires
2468,David Golub,Investor ,60,"private equity, Self Made",7,,"New York, New York",United States,,,"Bachelor of Arts/Economics, Harvard College; Master of Philosophy, Oxford University; Master of Business Administration, Stanford Business School",,$1.1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,$1.1B,$1.1B,$1.1B,,https://www.forbes.com/profile/david-golub/?list=billionaires
2469,Guan Yihong,,,"restaurant, Self Made",,,"Guangzhou, China",China,Married,,,,$1.4B,$1.1B,,,,,,,,,,,,,,,,,,,,,,,$2.3B,$1.1B,,https://www.forbes.com/profile/guan-yihong/?list=billionaires
2470,Stelios Haji-Ioannou,,55,EasyJet,,,"Monte Carlo, Monaco",Cyprus,Single,,"Master of Science, City University of London; Bachelor of Arts/Science, London School of Economics","https://imageio.forbes.com/specials-images/imageserve/5e75873cc7b02d000666c33e/0x0.jpg?format=jpg&crop=1156,1155,x598,y820,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,$1.4B,,,,,,,,,,,$1.1B,$3.1B,$1.7B,$1.4B,$1B,$1.6B,$1.3B,,$1.2B,$1.1B,,https://www.forbes.com/profile/stelios-haji-ioannou/?list=billionaires
2471,Mustafa Hamied,,81,pharmaceuticals,,,"Mumbai, India",India,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/62460e5d03ef2d168e503f2c/0x0.jpg?format=jpg&crop=257,257,x28,y3,safe&height=416&width=416&fit=bounds",$995.5M,$1.1B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/mustafa-hamied/?list=billionaires
2472,Han Arming Hanafia,,,"data centers, Self Made",,,"Bogor, Indonesia",Indonesia,,,,,,$1.1B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/han-arming-hanafia/?list=billionaires
2473,Ronnen Harary,,50,"toys, Self Made",,,"Toronto, Canada",Canada,,,"Bachelor of Arts/Science, Western University","https://imageio.forbes.com/specials-images/imageserve/5a9829814bbe6f0fa8270623/0x0.jpg?format=jpg&crop=1200,1201,x0,y177,safe&height=416&width=416&fit=bounds",$1.1B,$1.1B,,,,,,,,,,,,,,,,,,,,$1.3B,$1B,,$1B,$1.1B,,https://www.forbes.com/profile/ronnen-harary/?list=billionaires
2474,David Helgason,,44,"game software, Self Made",,,"Copenhagen, Denmark",Iceland,,,,,,$1.1B,,,,,,,,,,,,,,,,,,,,,,,$1B,$1.1B,,https://www.forbes.com/profile/david-helgason/?list=billionaires
2475,Christian Herz,,,coffee,,,"Hamburg, Germany",Germany,,,,"https://imageio.forbes.com/specials-images/imageserve/5e7ba54610380d0006fc13e2/0x0.jpg?format=jpg&crop=1195,1196,x176,y80,safe&height=416&width=416&fit=bounds",$1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,$1.5B,$1.4B,$1.1B,,https://www.forbes.com/profile/christian-herz/?list=billionaires
2476,Michaela Herz,,,coffee,,,"Hamburg, Germany",Germany,,,,,$1B,$1.1B,,,,,,,,,,,,,,,,,,,,,,$1.5B,$1.4B,$1.1B,,https://www.forbes.com/profile/michaela-herz/?list=billionaires
