,Name,Title,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Image,Real Time Net Worth,2022 Billionaires Net Worth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Quote,Source Page
1533,Orion Hindawi,"CEO, Tanium",42,"software, Self Made",,,"Seattle, Washington",United States,Married,2,"Drop Out, University of California, Berkeley","https://imageio.forbes.com/specials-images/imageserve/56ce23ade4b062f6b59a7dba/0x0.jpg?format=jpg&crop=713,714,x31,y74,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,,,,$1B,$1B,,,$1.5B,$2B,$2B,,https://www.forbes.com/profile/orion-hindawi/?list=billionaires
1534,Ji Qi,,55,"hotels, motels, Self Made",,,"Shanghai, China",China,,,"Bachelor of Engineering, Shanghai Jiao Tong University; Master of Science in Engineering, Shanghai Jiao Tong University","https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$2.4B,$2B,,,,,,,,,,,,,,,,,,,$1.4B,$3.3B,$2.5B,$2B,$4.1B,$2B,,https://www.forbes.com/profile/ji-qi/?list=billionaires
1535,Kim Chang-soo,,61,"apparel, Self Made",,,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Science, Yonsei University","https://imageio.forbes.com/specials-images/imageserve/60b127b0f805bb08765f6bbe/0x0.jpg?format=jpg&crop=546,546,x0,y51,safe&height=416&width=416&fit=bounds",$1.8B,$2B,,,,,,,,,,,,,,,,,,,,,,,$1.1B,$2B,,https://www.forbes.com/profile/kim-chang-soo/?list=billionaires
1536,Vyacheslav Kim,,52,"fintech, Self Made",,,"Almaty, Kazakhstan",Kazakhstan,Single,,,,$2.5B,$2B,,,,,,,,,,,,,,,,,,,,,,,$3.3B,$2B,,https://www.forbes.com/profile/vyacheslav-kim/?list=billionaires
1537,Kuan Kam Hon & family,,74,"rubber gloves, Self Made",,,"Kuala Lumpur, Malaysia",Malaysia,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/60b13232bb6b12dc28564f27/0x0.jpg?format=jpg&crop=1275,1275,x343,y119,safe&height=416&width=416&fit=bounds",$1.8B,$2B,,,,,,,,,,,,,,,,,,$1.1B,$1B,$2.5B,$2.4B,$2.6B,$3.9B,$2B,,https://www.forbes.com/profile/kuan-kam-hon/?list=billionaires
1538,Egor Kulkov,,50,"pharmaceuticals, Self Made",,,"Grimisuat, Switzerland",Russia,,,"Master of Science, Novosibirsk State University",,$2.5B,$2B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/egor-kulkov/?list=billionaires
1539,Josh Kushner,"Managing Partner, Thrive Capital",36,"venture capital, Self Made",,,"New York City, New York",United States,Married,1,"Bachelor of Arts/Science, Harvard; Master of Business Administration, Harvard Business School","https://imageio.forbes.com/specials-images/imageserve/62447060ba1232d299b19281/0x0.jpg?format=jpg&crop=711,711,x361,y134,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,,,,,,,,,,,There are three ways to make a return. You can create something no one else has created. You can discover something before anyone else. Or access something that very few can.,https://www.forbes.com/profile/josh-kushner/?list=billionaires
1540,Henry Laufer,Investor ,76,"hedge funds, Self Made",8,,"Lake Worth, Florida",United States,Married,,"Bachelor of Arts/Science, City College of New York; Doctorate, Princeton University","https://imageio.forbes.com/specials-images/imageserve/5d8b416218444200084e7839/0x0.jpg?format=jpg&crop=884,885,x163,y112,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,,,,,,$2B,$2B,$2.1B,$2.1B,$2B,,https://www.forbes.com/profile/henry-laufer/?list=billionaires
1541,Thomas Lee,,78,"private equity, Self Made",7,,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, Harvard University","https://imageio.forbes.com/specials-images/imageserve/55fb08f5e4b0ffa7afe4b3f6/0x0.jpg?format=jpg&crop=544,545,x97,y44,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$1.5B,$1.5B,$2B,$2B,$2.2B,$2.2B,$2B,$2B,$2B,$2B,,https://www.forbes.com/profile/thomas-lee/?list=billionaires
1542,Michael Lee-Chin,,71,"mutual funds, Self Made",,,"Burlington, Canada",Canada,Divorced,5,"Bachelor of Arts/Science, McMaster University","https://imageio.forbes.com/specials-images/imageserve/9e4f6675e2ba8919ad43e68506b785f3/0x0.jpg?format=jpg&crop=600,600,x0,y51,safe&height=416&width=416&fit=bounds",$1.8B,$2B,,,,,,,,,,,,$1B,,,,,,,,$1.2B,$1.8B,$2B,$1.6B,$2B,,https://www.forbes.com/profile/michael-lee-chin/?list=billionaires
1543,Li Xuhui,,53,"soy sauce, Self Made",,,"Foshan, China",China,,,,,$1.8B,$2B,,,,,,,,,,,,,,,,,,,,$1.2B,$1.4B,$1.5B,$2.3B,$2B,,https://www.forbes.com/profile/li-xuhui/?list=billionaires
1544,Lim Kok Thay,,70,casinos,,,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"Harvard Business School; Bachelor of Arts/Science, University of London","https://imageio.forbes.com/specials-images/imageserve/5e76f244d8e1ae0007b727b5/0x0.jpg?format=jpg&crop=2040,2040,x1074,y23,safe&height=416&width=416&fit=bounds",$2.5B,$2B,,,,,,,,,,,,,,,,,,,,$4.7B,$4.4B,$2B,$2.7B,$2B,,https://www.forbes.com/profile/lim-kok-thay/?list=billionaires
1545,Joao Roberto Marinho,,68,media,,,"Rio de Janeiro, Brazil",Brazil,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5a7b7fd231358e4955acddb8/0x0.jpg?format=jpg&crop=850,851,x234,y2,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$8.7B,$9.1B,$8.2B,$4.3B,$3.7B,$2.4B,$2.5B,$1.8B,$1.8B,$2B,"I renew our our commitment to defend the democracy, the republic, the rule of law, and the right to vote. TV and newspaper Globo doesn't defend any parties, religions. We are not going to distance ourselves from what we believe in. ",https://www.forbes.com/profile/joao-roberto-marinho/?list=billionaires
1546,Jose Roberto Marinho,,66,media,,,"Rio de Janeiro, Brazil",Brazil,Married,5,,"https://imageio.forbes.com/specials-images/imageserve/603e8f5d4a2df75cef4fb25a/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$8.6B,$9.1B,$8.2B,$4.3B,$3.8B,$2.5B,$2.5B,$1.8B,$1.8B,$2B,"Our family has ... always invested in Brazil. We believe the country can overcome adversities. We still believe in Brazil. 
",https://www.forbes.com/profile/jose-roberto-marinho/?list=billionaires
1547,Roberto Irineu Marinho,,74,media,,,"Rio de Janeiro, Brazil",Brazil,Married,4,,"https://imageio.forbes.com/specials-images/imageserve/5e7438532a573300068fccc8/0x0.jpg?format=jpg&crop=1945,1946,x51,y60,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$8.7B,$9.1B,$8.2B,$4.3B,$3.8B,$2.5B,$2.5B,$1.8B,$1.8B,$2B,"I want to make it very clear that the Marinho family will not step back at all from Grupo Globo. We are and continue to want to be a family business, with professional management.",https://www.forbes.com/profile/roberto-irineu-marinho/?list=billionaires
1548,Jim McKelvey,,56,"mobile payments, Self Made",8,1,"St. Louis, Missouri",United States,,,"Bachelor of Arts/Economics, Washington University in St. Louis; Bachelor of Science, Washington University in St. Louis","https://imageio.forbes.com/specials-images/imageserve/5e628c87e1e61700075908cd/0x0.jpg?format=jpg&crop=1513,1512,x814,y137,safe&height=416&width=416&fit=bounds",$1.8B,$2B,,,,,,,,,,,,,,,,,,,,,$1.5B,,$3.5B,$2B,"I have this habit of starting companies, but I can't run them. If I stay around too long, I become disruptive.",https://www.forbes.com/profile/jim-mckelvey/?list=billionaires
1549,Robert Miller,,89,"retail, Self Made",,,"Hong Kong, Hong Kong",United Kingdom,Married,3,"Bachelor of Arts/Science, Cornell University","https://imageio.forbes.com/specials-images/imageserve/5e77f8f7c7b02d000666e220/0x0.jpg?format=jpg&crop=2472,2474,x934,y441,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,$2.5B,$2.3B,$2.3B,$2.5B,$2.7B,$2.7B,$2.6B,$2.4B,,$2.4B,$2B,,https://www.forbes.com/profile/robert-miller/?list=billionaires
1550,David Nahmad,,75,"art collection, Self Made",,,"New York, New York",Monaco,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5e76f9a0c7b02d000666d3e5/0x0.jpg?format=jpg&crop=2147,2145,x2968,y820,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$1.8B,$1.8B,$1.9B,$1.9B,$1.9B,$1.9B,$1.8B,$1.8B,$2B,$2B,"There is very little art, compared to the amount of people who want to buy it.",https://www.forbes.com/profile/david-nahmad/?list=billionaires
1551,Florentino Perez,,75,"construction, Self Made",,,"Madrid, Spain",Spain,Widowed,3,,"https://imageio.forbes.com/specials-images/imageserve/5e77bd25d8e1ae0007b734e1/0x0.jpg?format=jpg&crop=1863,1861,x775,y0,safe&height=416&width=416&fit=bounds",$2.1B,$2B,,,,,,,,,,,,,,,$1.4B,$2B,$2B,$1.4B,$1.8B,$2B,$2.2B,$1.2B,$2.1B,$2B,,https://www.forbes.com/profile/florentino-perez/?list=billionaires
1552,Jennifer Pritzker,"CEO, Tawani Enterprises",71,"hotels, investments",1,,"Chicago, Illinois",United States,Divorced,3,"Bachelor of Arts/Science, Loyola University Illinois","https://imageio.forbes.com/specials-images/imageserve/5f6cd94c20f01cf9fb5cc2a6/0x0.jpg?format=jpg&crop=1200,1201,x0,y52,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$1.5B,$1.8B,$1.8B,$1.7B,$1.8B,$1.9B,$1.9B,$1.9B,$2B,$2B,"There are thousands of transgender veterans, and those currently serving, who have made enormous personal sacrifice to serve their country by subordinating their personal identities to service to our nation.",https://www.forbes.com/profile/jennifer-pritzker/?list=billionaires
1553,Linda Pritzker,,68,"hotels, investments",1,,"Missoula, Montana",United States,Divorced,3,,"https://imageio.forbes.com/specials-images/imageserve/28dbf303ade0c2929ed7f04b8da8d7f4/0x0.jpg?format=jpg&crop=744,744,x0,y0,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$1.7B,$1.8B,$1.8B,$1.8B,$1.8B,$1.8B,$1.9B,$2B,$2B,$2B,"As long as you have the basics in life - basic food, shelter, clothing - after that, a lot of it is dependent on what's going on in the inside. Because where you experience happiness is in the inside.",https://www.forbes.com/profile/linda-pritzker/?list=billionaires
1554,P.V. Ramprasad Reddy,,64,"pharmaceuticals, Self Made",,,"Hyderabad, India",India,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$1.7B,$2B,,,,,,,,,,,,,,,,,$2.3B,$2.5B,$2.6B,$2.5B,$2.8B,$1.4B,$3B,$2B,,https://www.forbes.com/profile/pv-ramprasad-reddy/?list=billionaires
1555,"Joe Rogers, Jr.",,75,Waffle House,,,"Atlanta, Georgia",United States,Married,,,"https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,,,,,,,,,$2B,$2B,Most of why we are here today is learning what not to do. We don't have the most creative restaurant concept you've ever seen. We're just a throwback to a diner.,https://www.forbes.com/profile/joe-rogers-jr/?list=billionaires
1556,Ruan Shuilong & family,,86,"chemicals, Self Made",,,"Shangyu, China",China,,,,,$1.8B,$2B,,,,,,,,,,,,,,,,,$1.9B,$1.2B,$1.2B,$1.6B,$1.5B,$1.9B,$2.5B,$2B,,https://www.forbes.com/profile/ruan-shuilong/?list=billionaires
1557,Phil Ruffin,,87,"casinos, real estate, Self Made",8,,"Las Vegas, Nevada",United States,Married,5,"Drop Out, Wichita State University","https://imageio.forbes.com/specials-images/imageserve/5d8b08e36de3150009a509a2/0x0.jpg?format=jpg&crop=2765,2764,x380,y475,safe&height=416&width=416&fit=bounds",$1.9B,$2B,,,,,,,,,,,,,,,$2.5B,$2.5B,$2B,$2.4B,$2.5B,$2.7B,$2.7B,$2.5B,$2.1B,$2B,,https://www.forbes.com/profile/phil-ruffin/?list=billionaires
1558,Vinod Saraf,,69,"chemicals, Self Made",,,"Mumbai, India",India,Married,2,"Master of Business Administration, Birla Institute of Technology and Science (BITS) - Pilani","https://imageio.forbes.com/specials-images/imageserve/5f7b7155a2e7e6ce8c99bc10/0x0.jpg?format=jpg&crop=366,366,x265,y72,safe&height=416&width=416&fit=bounds",$2.1B,$2B,,,,,,,,,,,,,,,,,,,,,,,$1.5B,$2B,,https://www.forbes.com/profile/vinod-saraf/?list=billionaires
1559,Maria-Elisabeth Schaeffler-Thumann,,80,auto parts,,,"Herzogenaurach, Germany",Germany,Married,,,"https://imageio.forbes.com/specials-images/imageserve/5e7630f7d8e1ae0007b71bff/0x0.jpg?format=jpg&crop=682,682,x289,y17,safe&height=416&width=416&fit=bounds",$2.2B,$2B,,,,,,,,,,,,,,,,$3.6B,$6.7B,$4.5B,$5.2B,$6.3B,$3.3B,$1.6B,$3.7B,$2B,"It is often said that family businesses think in the long term. This is definitely true for Schaeffler. In addition to economic success, roots and values are important to us.",https://www.forbes.com/profile/maria-elisabeth-schaeffler-thumann/?list=billionaires
1560,Genhuo Shao,Entrepreneur ,56,"agribusiness, Self Made",,,"Beijing, China",China,Married,2,"Doctorate, China Agricultural University; Bachelor of Arts/Science, Zhejiang University",https://imageio.forbes.com/specials-images/imageserve/6070b9f4f3926069fe8abe77bcbbc238/0x0.jpg?format=jpg&height=416&width=416&fit=bounds,$1.8B,$2B,,,,,,,,,,,,,$1.1B,,$1.4B,$1.7B,$2B,$1.4B,,,,,$1.7B,$2B,,https://www.forbes.com/profile/genhuo-shao/?list=billionaires
1561,Shen Xiqiang & family,,74,"chemical, Self Made",,,"Yixing, China",China,Married,,,,$1.8B,$2B,,,,,,,,,,,,,,,,,,,,,,$1.1B,$2B,$2B,,https://www.forbes.com/profile/shen-xiqiang/?list=billionaires
1562,Shi Wen-long,,94,"plastics, Self Made",,,"Tainan, Taiwan",Taiwan,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/6091cc3d93e0d10c2f9d4448/0x0.jpg?format=jpg&crop=2509,2509,x7,y0,safe&height=416&width=416&fit=bounds",$1.9B,$2B,,,,,,$1.7B,$1B,,,,,,,,,,,,,,$1.6B,$1.6B,$1.8B,$2B,,https://www.forbes.com/profile/shi-wen-long/?list=billionaires
1563,Thaksin Shinawatra,,72,"investments, Self Made",,,"Dubai, United Arab Emirates",Thailand,Divorced,3,"Master of Science, Eastern Kentucky University","https://imageio.forbes.com/specials-images/imageserve/5e780e37c7b02d000666e34e/0x0.jpg?format=jpg&crop=1749,1748,x1474,y11,safe&height=416&width=416&fit=bounds",$1.9B,$2B,,,,,,,,,,,,,,,$1.7B,$1.6B,$1.7B,$1.6B,$1.7B,$1.8B,$1.8B,$1.8B,$2B,$2B,,https://www.forbes.com/profile/thaksin-shinawatra/?list=billionaires
1564,Alexander Skorobogatko,,54,"real estate, airport, Self Made",,,"Moscow, Russia",Russia,Divorced,3,"Master of Science, Plekhanov Russian University of Economics","https://imageio.forbes.com/specials-images/imageserve/b0486d23f85a613e85336bd421161b18/0x0.jpg?format=jpg&crop=738,738,x6,y85,safe&height=416&width=416&fit=bounds",$2.6B,$2B,,,,,,,,,,,,,,,$2.1B,$2.3B,$2.4B,$2.3B,$3B,$3.4B,$3.2B,$3.3B,$2.9B,$2B,,https://www.forbes.com/profile/alexander-skorobogatko/?list=billionaires
1565,Sylvia Stroeher,,67,cosmetics,,,"Darmstadt, Germany",Germany,Married,1,,"https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$2.1B,$2.1B,$1.8B,$1.8B,$1.8B,$2.1B,$1.8B,$1.9B,$2B,$2B,,https://www.forbes.com/profile/sylvia-stroeher/?list=billionaires
1566,Wichai Thongtang,,75,"investments, Self Made",,,"Bangkok, Thailand",Thailand,Widowed,4,,"https://imageio.forbes.com/specials-images/imageserve/60d9f1892014462fc79cb54d/0x0.jpg?format=jpg&crop=844,844,x0,y0,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$1.1B,,$1.6B,$1.5B,$1.5B,$1.7B,$1.8B,$1.7B,$2B,$2B,I'm low profile but high profit.,https://www.forbes.com/profile/wichai-thongtang/?list=billionaires
1567,Todd Wagner,,61,"online media, Self Made",,,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, Indiana University; Doctor of Jurisprudence, University of Virginia","https://imageio.forbes.com/specials-images/imageserve/5a8f0d5c4bbe6f0fa82646b3/0x0.jpg?format=jpg&crop=1997,1997,x0,y133,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,$1.2B,$1.4B,$1.5B,$1.5B,$1.7B,$1.7B,$1.8B,$1.8B,$1.9B,$2B,"What Mark [Cuban] and I did was lightning in a bottle. A unicorn doesn't happen often, and it happened to me at a very young age. I felt success was something to be proud of, but I had a lot of advantages that other folks don't.",https://www.forbes.com/profile/todd-wagner/?list=billionaires
1568,Wang Jianguo,,62,"retail, Self Made",,,"Nanjing, China",China,,,,,$1.7B,$2B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/wang-jianguo-1/?list=billionaires
1569,Shuifu Wang,,67,"Manufacturing, Self Made",,,"Hangzhou, China",China,Married,,,,$1.3B,$2B,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forbes.com/profile/shuifu-wang/?list=billionaires
1570,Wenbiao Wang,,65,"natural gas, fertilizers, Self Made",,,"Beijing, China",China,,,,"https://imageio.forbes.com/specials-images/imageserve/5e7905cbd8e1ae0007b74c30/0x0.jpg?format=jpg&crop=981,982,x489,y43,safe&height=416&width=416&fit=bounds",$1.8B,$2B,,,,,,,,,,,,,,,,,,,,$1.2B,$2B,$1.7B,$1.5B,$2B,,https://www.forbes.com/profile/wenbiao-wang/?list=billionaires
1571,Kanye West, Musician,44,"music, sneakers, Self Made",,,"Los Angeles, California",United States,Divorced,4,"Drop Out, Chicago State University","https://imageio.forbes.com/specials-images/imageserve/5ed00f17d4a99d0006d2e738/0x0.jpg?format=jpg&crop=4666,4663,x154,y651,safe&height=416&width=416&fit=bounds",$2B,$2B,,,,,,,,,,,,,,,,,,,,,,,$1.8B,$2B,,https://www.forbes.com/profile/kanye-west/?list=billionaires
1572,Evan Williams,"Cofounder and Director, Twitter",50,"Twitter, Self Made",9,2,"San Francisco, California",United States,Married,2,"Drop Out, University of Nebraska Lincoln","https://imageio.forbes.com/specials-images/imageserve/5f442fba6eb909db375d0172/0x0.jpg?format=jpg&crop=3557,3557,x669,y1080,safe&height=416&width=416&fit=bounds",$2.1B,$2B,,,,,,,,,,,,,,,,$3.5B,$2.9B,$1.3B,$1.4B,$1.9B,$1.6B,$1.8B,$2.6B,$2B,Maybe it was because I grew up on that farm with so many ideas in my head and so few people to share them with that I couldn't think of anything more exciting than a system with the potential to connect brains from all over the planet.,https://www.forbes.com/profile/evan-williams/?list=billionaires
1573,Zhongyi Wu,,48,"electronics, Self Made",,,"Xiamen, China",China,,,"Bachelor of Arts/Science, Shenzhen University",,$1.9B,$2B,,,,,,,,,,,,,,,,,,,,,,$1.6B,$2.3B,$2B,,https://www.forbes.com/profile/zhongyi-wu/?list=billionaires
1574,Zhihan Xu,,49,"electronics, Self Made",,,"Wuxi, China",China,,,,,$1.6B,$2B,,,,,,,,,,,,,,,,,,,,,,$1.1B,$2.8B,$2B,,https://www.forbes.com/profile/zhihan-xu/?list=billionaires
1575,Yan Zhi,,49,"real estate, Self Made",,,"Wuhan, China",China,Married,,"Master of Business Administration, Wuhan University","https://imageio.forbes.com/specials-images/imageserve/6050f48ca1ab099ed6e290cc/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",$1.9B,$2B,,,,,,,,,,,,,,,$1.3B,$1.1B,$1.2B,$2B,$5.7B,$10.1B,$5.3B,$2B,$2B,$2B,,https://www.forbes.com/profile/yan-zhi/?list=billionaires
1576,Michael Ying,,72,"retail, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/603530f4385ef20ced779600/0x0.jpg?format=jpg&crop=704,704,x0,y0,safe&height=416&width=416&fit=bounds",$2.1B,$2B,,,,,,,,,,,,,,,$2.7B,$2.9B,$2.8B,$2.4B,$2.5B,$2.4B,$2.1B,$2.4B,$2.4B,$2B,,https://www.forbes.com/profile/michael-ying/?list=billionaires
1577,Yuan Liping,,51,pharmaceuticals,,,"Shenzhen, China",Canada,Divorced,,,,$1.1B,$2B,,,,,,,,,,,,,,,,,,,,,,,$3.6B,$2B,,https://www.forbes.com/profile/yuan-liping/?list=billionaires
1578,Anu Aga,,79,engineering,,,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, University of Mumbai","https://imageio.forbes.com/specials-images/imageserve/5a7f0b2fa7ea43169013281b/0x0.jpg?format=jpg&crop=171,171,x3,y2,safe&height=416&width=416&fit=bounds",$1.9B,$1.9B,,,,,,,,,,$1.1B,,,$1B,,,,$1.5B,,,$1.4B,$1.1B,,$1.4B,$1.9B,,https://www.forbes.com/profile/anu-aga/?list=billionaires
1579,Joy Alukkas,,65,jewelry,,,"Cochin, India",India,Married,3,,"https://imageio.forbes.com/specials-images/imageserve/5a7f265aa7ea431690132981/0x0.jpg?format=jpg&crop=589,589,x31,y0,safe&height=416&width=416&fit=bounds",$1.9B,$1.9B,,,,,,,,,,,,,,,$1B,,,$1.1B,$1.6B,$1.5B,,,,$1.9B,"Mobile phones and motorbikes have no resale value, but jewelry is worth it.",https://www.forbes.com/profile/joy-alukkas/?list=billionaires
1580,Sezai Bacaksiz,,72,"diversified, Self Made",,,"Ankara, Turkey",Turkey,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/5a70d3e631358e4955ac0a68/0x0.jpg?format=jpg&crop=1037,1037,x117,y325,safe&height=416&width=416&fit=bounds",$1.9B,$1.9B,,,,,,,,,,,,,$1.2B,$1.1B,$1.2B,,,$1.3B,$1.6B,$1.7B,$1.7B,$1.7B,$2.3B,$1.9B,,https://www.forbes.com/profile/sezai-bacaksiz/?list=billionaires
1581,Baokun Bai,,,"hardware, Self Made",,,"Dongguan, China",China,,,,,$1.7B,$1.9B,,,,,,,,,,,,,,,,,,,,,,,$2.8B,$1.9B,,https://www.forbes.com/profile/baokun-bai/?list=billionaires
1582,Acharya Balkrishna,,49,"consumer goods, Self Made",,,"Haridwar, India",India,Single,,,"https://imageio.forbes.com/specials-images/imageserve/5bad43e14bbe6f1f844e9b1c/0x0.jpg?format=jpg&crop=1825,1825,x985,y0,safe&height=416&width=416&fit=bounds",$2B,$1.9B,,,,,,,,,,,,,,,,,,,$2.5B,$6.3B,$4.9B,$1.1B,$2.2B,$1.9B,We want to use this wealth to serve others and not ourselves.,https://www.forbes.com/profile/acharya-balkrishna/?list=billionaires
1583,Kiki Barki,,82,"coal, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,4,"Bachelor of Science in Engineering, Beijing University","https://imageio.forbes.com/specials-images/imageserve/61b11f6448cf6d0407d56fb4/0x0.jpg?format=jpg&crop=380,380,x192,y147,safe&height=416&width=416&fit=bounds",$548.5M,$1.9B,,,,,,,,,,,,,$2B,$1.7B,$1.2B,,,,,,,,,$1.9B,,https://www.forbes.com/profile/kiki-barki/?list=billionaires
1584,John Bloor,,78,"real estate, manufacturing, Self Made",,,"Aberdyfi, United Kingdom",United Kingdom,,,,,$1.8B,$1.9B,,,,,,,,,,,,,,,,,,$1.1B,$1B,$1.6B,$1.4B,$1.6B,$1.8B,$1.9B,,https://www.forbes.com/profile/john-bloor/?list=billionaires
1585,Nicola Bulgari,,81,luxury goods,,,"Rome, Italy",Italy,,4,"Diploma, High School","https://imageio.forbes.com/specials-images/imageserve/5e76d8c9c7b02d000666d334/0x0.jpg?format=jpg&crop=1933,1933,x187,y332,safe&height=416&width=416&fit=bounds",$1.9B,$1.9B,,,,,,,,,,,,,,,$1.3B,$1.4B,$1.3B,$1.2B,$1.3B,$1.7B,$1.4B,$1.4B,$1.9B,$1.9B,,https://www.forbes.com/profile/nicola-bulgari/?list=billionaires
1586,Alejandro Bulgheroni,,77,oil & gas,,,"Manantiales, Uruguay",Argentina,Married,7,,"https://imageio.forbes.com/specials-images/imageserve/5e73d0b107adf00006db9510/0x0.jpg?format=jpg&crop=2166,2167,x834,y177,safe&height=416&width=416&fit=bounds",$2.1B,$1.9B,,,,,,,,,,,,,,,$5.5B,$5.5B,$5.3B,$4.5B,$3.3B,$3B,$3.1B,$2.7B,$3.3B,$1.9B,Get a lot of advice because it's very easy to make mistakes.,https://www.forbes.com/profile/alejandro-bulgheroni/?list=billionaires
1587,Chen Kaichen,,,"household chemicals, Self Made",,,"Guangzhou, China",China,,,,,$1.8B,$1.9B,,,,,,,,,,,,,,,,,,,,,,,$1.6B,$1.9B,,https://www.forbes.com/profile/chen-kaichen/?list=billionaires
1588,Fernando Chico Pardo,,70,"airport management, Self Made",,,"Mexico City, Mexico",Mexico,Married,3,"Master of Business Administration, Kellogg School of Management; Bachelor of Business Administration, Universidad Iberoamericana","https://imageio.forbes.com/specials-images/imageserve/5c7850314bbe6f0583123c77/0x0.jpg?format=jpg&crop=704,704,x154,y16,safe&height=416&width=416&fit=bounds",$2.1B,$1.9B,,,,,,,,,,,,,,,,,,,,,$1.5B,,$1.4B,$1.9B,,https://www.forbes.com/profile/fernando-chico-pardo/?list=billionaires
1589,Jose Luis Cutrale,,75,orange juice,,,"Sao Paulo, Brazil",Brazil,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/5e742d662a573300068fcc5a/0x0.jpg?format=jpg&crop=2646,2644,x720,y23,safe&height=416&width=416&fit=bounds",$1.9B,$1.9B,$1B,$1B,,,,,,,,,,,,,,,$2.5B,$2.5B,$2.2B,$2.4B,$2.2B,$1.9B,$2.5B,$1.9B,"If you don't work, you don't get anything.
",https://www.forbes.com/profile/jose-luis-cutrale/?list=billionaires
1590,D. Leopoldo Del Pino,,59,construction,,,"Madrid, Spain",Spain,,,"Master of Business Administration, INSEAD; Bachelor of Engineering, Polytechnic University of Madrid",,$1.8B,$1.9B,,,,,,,,,,,,,,,$1.3B,$1.6B,,$1.1B,$1.1B,$1.2B,$1.5B,$1.5B,$1.8B,$1.9B,,https://www.forbes.com/profile/d-leopoldo-del-pino/?list=billionaires
1591,James Dinan,"Founder, York Capital Management",63,"hedge funds, Self Made",8,2,"North Salem, New York",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School","https://imageio.forbes.com/specials-images/imageserve/5d8b3c9322254b0008e16bb8/0x0.jpg?format=jpg&crop=1114,1114,x76,y58,safe&height=416&width=416&fit=bounds",$1.9B,$1.9B,,,,,,,,,,,,,,,$1.6B,$2B,$2.4B,$2B,$1.8B,$1.9B,$2.2B,$2.2B,$1.9B,$1.9B,,https://www.forbes.com/profile/james-dinan/?list=billionaires
