,URL
348,https://www.forbes.com/profile/seo-jung-jin/?list=billionaires
349,https://www.forbes.com/profile/roman-abramovich/?list=billionaires
350,https://www.forbes.com/profile/micky-arison/?list=billionaires
351,https://www.forbes.com/profile/edythe-broad/?list=billionaires
352,https://www.forbes.com/profile/terry-gou/?list=billionaires
353,https://www.forbes.com/profile/jiang-bin/?list=billionaires
354,https://www.forbes.com/profile/vinod-khosla/?list=billionaires
355,https://www.forbes.com/profile/ralph-lauren/?list=billionaires
356,https://www.forbes.com/profile/douglas-leone/?list=billionaires
357,https://www.forbes.com/profile/lucia-maggi/?list=billionaires
358,https://www.forbes.com/profile/horst-julius-pudwill/?list=billionaires
359,https://www.forbes.com/profile/abdulsamad-rabiu/?list=billionaires
360,https://www.forbes.com/profile/harry-stine/?list=billionaires
361,https://www.forbes.com/profile/dennis-washington/?list=billionaires
362,https://www.forbes.com/profile/hasmukh-chudgar/?list=billionaires
363,https://www.forbes.com/profile/stanley-druckenmiller/?list=billionaires
364,https://www.forbes.com/profile/jonathan-gray/?list=billionaires
365,https://www.forbes.com/profile/kwon-hyuk-bin/?list=billionaires
366,https://www.forbes.com/profile/frank-lowy/?list=billionaires
367,https://www.forbes.com/profile/ronda-stryker/?list=billionaires
368,https://www.forbes.com/profile/alejandro-bailleres-gual/?list=billionaires
369,https://www.forbes.com/profile/benu-gopal-bangur/?list=billionaires
370,https://www.forbes.com/profile/james-goodnight/?list=billionaires
371,https://www.forbes.com/profile/alain-merieux/?list=billionaires
372,https://www.forbes.com/profile/enrique-razon-jr/?list=billionaires
373,https://www.forbes.com/profile/robert-f-smith/?list=billionaires
374,https://www.forbes.com/profile/brian-armstrong/?list=billionaires
375,https://www.forbes.com/profile/dannine-avara/?list=billionaires
376,https://www.forbes.com/profile/patrick-drahi/?list=billionaires
377,https://www.forbes.com/profile/scott-duncan/?list=billionaires
378,https://www.forbes.com/profile/milane-frantz/?list=billionaires
379,https://www.forbes.com/profile/andreas-halvorsen/?list=billionaires
380,https://www.forbes.com/profile/law-kar-po/?list=billionaires
381,https://www.forbes.com/profile/nicolas-puech/?list=billionaires
382,https://www.forbes.com/profile/viktor-rashnikov/?list=billionaires
383,https://www.forbes.com/profile/dmitry-rybolovlev/?list=billionaires
384,https://www.forbes.com/profile/randa-duncan-williams/?list=billionaires
385,https://www.forbes.com/profile/chen-jianhua/?list=billionaires
386,https://www.forbes.com/profile/john-grayken/?list=billionaires
387,https://www.forbes.com/profile/ray-lee-hunt/?list=billionaires
388,https://www.forbes.com/profile/philippe-laffont/?list=billionaires
389,https://www.forbes.com/profile/henry-nicholas-iii/?list=billionaires
390,https://www.forbes.com/profile/axel-oberwelland/?list=billionaires
391,https://www.forbes.com/profile/cliff-obrecht/?list=billionaires
